Start Time: 6/2/2024 3:23:10 PM
RDT Sample Rate: 500
Force Units: 1
Counts per Unit Force: 1000000
Torque Units: 2
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 1641, 55280, 0.012906, -0.04073499, 0.01895905, 0.001301996, 2.100319E-05, 0.001146, 15:23:10.623
0x0, 1642, 55281, -0.003732994, -0.039647, 0.02472782, 0.001717001, -0.0001000017, 0.000680998, 15:23:10.623
0x0, 1643, 55282, -0.010492, -0.04242399, 0.003454208, 0.001176, -0.0002809986, 0.0006999969, 15:23:10.623
0x0, 1644, 55283, -0.003106996, -0.02541499, 0.007866859, 0.001448996, 9.998679E-06, 0.0009429976, 15:23:10.623
0x0, 1645, 55284, -0.01882699, -0.015251, 0.007273674, 0.0005929992, -0.002438001, 0.001130998, 15:23:10.623
0x0, 1646, 55285, -0.002612993, 0.009512007, 0.02099705, -0.001093, -0.002346002, 0.0008939989, 15:23:10.623
0x0, 1647, 55286, 0.011427, 0.012587, 0.001865387, -0.0007590055, 0.0005160049, -0.0001400001, 15:23:10.623
0x0, 1648, 55287, 0.003158003, -0.008203998, 0.01125336, -0.000594005, -0.0006549954, 0.000738997, 15:23:10.623
0x0, 1649, 55288, -0.02217299, -0.02795899, -0.001102448, -0.0004170015, -0.001677997, 0.0009519979, 15:23:10.623
0x0, 1650, 55289, -0.02422399, -0.03172399, 0.02900982, 0.0003749952, -0.0003229976, 0.001530997, 15:23:10.623
0x0, 1651, 55290, 0.008780003, -0.025877, 0.01583576, 0.002060995, -0.0004509985, 0.0011, 15:23:10.623
0x0, 1652, 55291, 0.0008410066, -0.032995, 0.01655769, 0.002530999, -0.0001489967, 0.001075, 15:23:10.623
0x0, 1653, 55292, -0.005242988, -0.00711, -0.002845764, 0.001265995, -0.001272999, 0.001203999, 15:23:10.623
0x0, 1654, 55293, -0.006941989, -0.005341992, 0.006757736, -0.0003260002, -0.002348997, 0.001011997, 15:23:10.623
0x0, 1655, 55294, -0.012146, 0.003443003, 0.01704979, -0.0005760044, -0.003120996, 0.0006349981, 15:23:10.623
0x0, 1656, 55295, 0.006179005, 0.00547801, 0.01635742, -0.001061, -0.001437999, 0.0006840006, 15:23:10.623
0x0, 1657, 55296, 0.002463013, 0.004593998, 0.01737309, 5.799532E-05, -0.0006319955, 0.0008949973, 15:23:10.623
0x0, 1658, 55297, 0.011426, -0.01530099, 0.03098869, 0.0009999946, -0.0003580004, 0.001492999, 15:23:10.623
0x0, 1659, 55298, 0.004245013, -0.05979599, 0.03485298, 0.001074001, 0.001382999, 0.001167998, 15:23:10.623
0x0, 1660, 55299, 0.02590901, -0.041428, 0.03711414, 0.001143001, 0.0007309988, 0.001272999, 15:23:10.623
0x0, 1661, 55300, -0.006650999, -0.043512, 0.02929211, 0.001306996, -0.000680998, 0.001339998, 15:23:10.623
0x0, 1662, 55301, 0.005137011, -0.020097, 0.03795624, 0.001052998, -0.001823001, 0.001474999, 15:23:10.623
0x0, 1663, 55302, 0.005860001, -0.01976399, 0.02586079, 0.0003769994, -0.001485996, 0.0003389977, 15:23:10.638
0x0, 1664, 55303, 0.002193004, -0.01100199, 0.008350372, -0.0009940043, -0.001194999, 0.000785999, 15:23:10.638
0x0, 1665, 55304, -0.012455, -0.004519999, -0.01035023, -0.0008880049, -0.001685999, 0.0007229969, 15:23:10.638
0x0, 1666, 55305, -0.009500995, -0.01112199, 0.02353382, -0.001180999, -0.001319997, 0.0006409995, 15:23:10.638
0x0, 1667, 55306, -0.00764899, -0.02493399, 0.0300312, -8.799881E-05, -0.0007179976, 0.0004349984, 15:23:10.638
0x0, 1668, 55307, -0.004847988, -0.03091399, 0.02476311, 0.001443997, -0.0005959943, 0.001251999, 15:23:10.638
0x0, 1669, 55308, 0.006558001, -0.039068, 0.03874874, 0.002572, -0.0003829971, 0.001460999, 15:23:10.638
0x0, 1670, 55309, -0.009268001, -0.059297, 0.04935741, 0.001829997, 0.0005320013, 0.001204997, 15:23:10.638
0x0, 1671, 55310, 0.001768008, -0.03570299, 0.02483463, 0.000767, 0.0001019984, 0.000661999, 15:23:10.638
0x0, 1672, 55311, 0.0231, 0.004747003, 0.01530075, -0.0005960017, -0.0003919974, 0.0001439974, 15:23:10.638
